,Name,Team,L/R,POS,IP,GS,GP,HA,R,ER,HR,BB,K,W,L,S,HD,BS,ERA,WHIP,SB,CS,SBP,W-Z,K-Z,S-Z,ERA-Z,WHIP-Z,Z-SUM,Z-SUM-A,ACV,
79,Colin Rea,CHN,RIGHT,SP| RP,159.33333333333334,27,32,206,73,70,20,44,127,11,7,1,0,0,3.954,1.569,7,4,0.044,0.715,-0.103,-0.415,-0.215,-0.27,-0.287,5.082,12.08901647149748,
80,Eric Lauer,TOR,RIGHT,SP| RP,104.66666666666666,15,28,129,39,37,15,26,102,9,2,0,0,0,3.182,1.481,9,2,0.086,0.19,-0.652,-0.506,0.489,0.148,-0.331,5.037999999999999,11.984349662220444,
81,Clayton Kershaw,LAN,LEFT,SP,112.66666666666667,22,23,134,46,42,8,35,84,11,2,0,0,0,3.355,1.500,0,1,0.0,0.715,-1.047,-0.506,0.374,0.083,-0.381,4.9879999999999995,11.865410106223814,
82,Shane Smith,CHA,RIGHT,SP,146.33333333333334,29,29,160,70,62,17,58,145,7,8,0,0,0,3.813,1.490,14,1,0.096,-0.334,0.293,-0.506,-0.037,0.161,-0.424,4.944999999999999,11.763122088066712,
83,Jason Adam,SDN,RIGHT,RP,65.33333333333333,0,65,59,18,14,4,25,70,8,4,0,0,0,1.929,1.286,12,1,0.184,-0.072,-1.355,-0.506,0.944,0.541,-0.448,4.920999999999999,11.70603110118833,
84,Jeffrey Springs,ATH,LEFT,SP,171.0,30,32,217,90,78,28,54,138,11,11,0,0,0,4.105,1.585,20,3,0.117,0.715,0.139,-0.506,-0.432,-0.384,-0.469,4.8999999999999995,11.656076487669745,
85,Edwin Uceta,TBA,RIGHT,RP,75.99999999999999,0,70,86,33,32,11,27,103,10,3,1,0,0,3.789,1.487,10,2,0.132,0.453,-0.63,-0.415,-0.005,0.091,-0.506,4.8629999999999995,11.56806121623224,
86,Bryan Abreu,HOU,RIGHT,RP,71.0,0,70,64,18,18,4,31,105,3,4,7,0,0,2.282,1.338,10,2,0.141,-1.384,-0.586,0.132,0.83,0.458,-0.55,4.819,11.463394406955205,
87,Brad Keller,CHN,RIGHT,RP,69.66666666666667,1,68,53,18,16,4,22,75,4,2,3,0,0,2.067,1.077,0,0,0.0,-1.121,-1.245,-0.233,0.931,1.091,-0.578,4.7909999999999995,11.396788255597091,
88,Zac Gallen,ARI,RIGHT,SP,192.0,33,33,248,109,103,31,66,175,13,15,0,0,0,4.828,1.635,14,3,0.073,1.24,0.952,-0.506,-1.568,-0.774,-0.656,4.713,11.21124254824235,
89,Kyle Finnegan,DET| WAS,RIGHT,RP,57.00000000000001,0,56,60,24,22,4,18,55,4,4,24,0,0,3.474,1.368,6,4,0.105,-1.121,-1.684,1.681,0.137,0.306,-0.681,4.688,11.151772770244035,
90,Dylan Cease,SDN,RIGHT,SP,168.0,32,32,211,91,85,21,71,215,8,12,0,0,0,4.554,1.679,12,4,0.071,-0.072,1.831,-0.506,-1.012,-0.932,-0.692,4.677,11.125606067924775,
91,Emmanuel Clase,CLE,RIGHT,RP,47.333333333333336,0,48,57,20,17,2,12,47,5,3,24,0,0,3.232,1.458,7,1,0.148,-0.859,-1.86,1.681,0.202,0.105,-0.729,4.64,11.037590796487269,
92,Emmet Sheehan,LAN,RIGHT,SP| RP,73.33333333333333,12,15,68,29,23,7,22,89,6,3,0,0,0,2.823,1.227,0,3,0.0,-0.597,-0.937,-0.506,0.548,0.759,-0.734,4.635,11.025696840887607,
93,Brandon Woodruff,MIL,LEFT,SP,64.66666666666666,12,12,61,26,23,9,14,83,7,2,0,0,0,3.201,1.160,6,0,0.093,-0.334,-1.069,-0.506,0.292,0.823,-0.795,4.574,10.880590582571719,
94,Eduard Bazardo,SEA,RIGHT,RP,78.66666666666667,0,73,68,23,22,9,27,82,5,0,0,0,0,2.517,1.208,7,0,0.089,-0.859,-1.091,-0.506,0.775,0.868,-0.813,4.556,10.837772342412931,
95,Mike Vasil,CHA,LEFT,SP| RP,101.00000000000001,3,47,96,32,28,8,52,82,5,3,4,0,0,2.495,1.465,24,3,0.238,-0.859,-1.091,-0.142,1.013,0.198,-0.881,4.4879999999999995,10.676014546257514,
96,Tyler Mahle,TEX,RIGHT,SP,86.66666666666667,16,16,87,21,21,5,29,66,6,4,0,0,0,2.181,1.339,2,1,0.023,-0.597,-1.442,-0.506,1.081,0.557,-0.907,4.462,10.614165977139267,
97,Jose Soriano,ANA,RIGHT,SP,169.0,31,31,199,89,80,12,78,152,10,11,0,0,0,4.260,1.639,5,1,0.03,0.453,0.447,-0.506,-0.632,-0.703,-0.941,4.428,10.533287079061559,
98,Jack Flaherty,DET,RIGHT,SP,161.0,31,31,202,85,83,23,59,188,8,15,0,0,0,4.640,1.621,7,2,0.043,-0.072,1.237,-0.506,-1.078,-0.568,-0.987,4.382,10.423862687544657,
99,Jose Quintana,MIL,RIGHT,SP,131.66666666666666,24,24,154,65,58,18,50,89,11,7,0,0,0,3.965,1.549,9,2,0.068,0.715,-0.937,-0.506,-0.188,-0.132,-1.048,4.321,10.27875642922877,
